w,r,i,t,e,T,i,m,e,:,2,0,1,8,-,0,6,-,0,5, ,1,4,:,5,4,:,2,7,.,1,5,8,7,9,2
"['2018-06-05 14:54:21.461687', 45, 0.00091552734375, -0.00048828125, 0.99945068359375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:21.763592', 45, 0.0009765625, 0.00152587890625, 1.0, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:22.065235', 45, 0.00286865234375, -0.0009765625, 1.00189208984375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:22.366896', 45, -0.00201416015625, 0.00250244140625, 1.00079345703125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:22.668508', None, 6.103515625e-05, -0.00079345703125, 0.99932861328125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:22.970136', 45, -0.00225830078125, -0.00128173828125, 1.00128173828125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:23.271625', 45, 0.00128173828125, 0.00079345703125, 1.00286865234375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:23.573172', 45, 0.0008544921875, -0.000244140625, 1.00250244140625, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:23.874691', 45, 0.00152587890625, -0.00115966796875, 0.9971923828125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:24.176115', 45, -0.00079345703125, 0.00177001953125, 1.0030517578125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:24.477659', 45, -0.000732421875, -0.0008544921875, 1.00079345703125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:24.779215', 45, -0.0001220703125, -0.00030517578125, 0.9998779296875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:25.080746', 45, -0.0009765625, 0.00030517578125, 0.99835205078125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:25.382682', 45, -0.0015869140625, 0.00079345703125, 1.0003662109375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:25.684624', 45, 0.0, -0.00146484375, 1.0015869140625, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:25.986750', 45, -0.00396728515625, 0.0010986328125, 1.0047607421875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:26.288742', 45, -0.00103759765625, 0.001953125, 0.998779296875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:26.590725', 45, -0.0025634765625, 0.0003662109375, 1.000244140625, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:26.892622', 45, -0.00274658203125, 0.01422119140625, 0.998779296875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
w,r,i,t,e,T,i,m,e,:,2,0,1,8,-,0,6,-,0,5, ,1,4,:,5,4,:,3,3,.,1,6,3,7,3,6
"['2018-06-05 14:54:27.194529', 45, -0.000732421875, 0.00201416015625, 1.0, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:27.496568', 45, 0.00054931640625, 0.0006103515625, 1.00335693359375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:27.798463', 45, 0.00079345703125, -0.00146484375, 1.00213623046875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:28.100451', 45, 0.0001220703125, 0.00042724609375, 0.998046875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:28.402433', 45, 0.0010986328125, 0.0, 1.0020751953125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:28.704380', 45, -0.0003662109375, 0.00030517578125, 1.00164794921875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:29.006349', 45, -0.00048828125, 0.00128173828125, 1.00201416015625, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:29.308259', 45, 0.0001220703125, 0.00054931640625, 1.00054931640625, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:29.610048', 45, -0.00054931640625, -0.0009765625, 1.00189208984375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:29.912237', 45, -0.00140380859375, -0.001708984375, 0.99945068359375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:30.214262', 45, 0.0023193359375, -0.0008544921875, 1.0003662109375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:30.516558', 45, -0.00140380859375, -0.0013427734375, 1.0018310546875, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:30.818669', 45, 0.00140380859375, -0.0003662109375, 1.0010986328125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:31.120785', 45, 0.0006103515625, 0.0006103515625, 0.99993896484375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:31.422890', 45, -0.0001220703125, 0.00079345703125, 0.99981689453125, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
"['2018-06-05 14:54:31.724953', 45, 0.0, 0.00140380859375, 0.999755859375, 0.9271240234375, -4.11224365234375, -0.88226318359375]"
