1481161943.474160	1481161943.477058	1481161943.477081	1481161943.477090

1481161943.494208	1481161943.497018	1481161943.497041	1481161943.497049

1481161943.514211	1481161943.517065	1481161943.517088	1481161943.517098

1481161943.534199	1481161943.537040	1481161943.537060	1481161943.537069

1481161943.554202	1481161943.557029	1481161943.557049	1481161943.557057

1481161943.574227	1481161943.577172	1481161943.577201	1481161943.577210

1481161943.594198	1481161943.597063	1481161943.597086	1481161943.597094

1481161943.614205	1481161943.617074	1481161943.617152	1481161943.617163

1481161943.634209	1481161943.637350	1481161943.637390	1481161943.637400

1481161943.654212	1481161943.657025	1481161943.657044	1481161943.657052

1481161943.674203	1481161943.677023	1481161943.677043	1481161943.677052

1481161943.694202	1481161943.697167	1481161943.697221	1481161943.697230

1481161943.714218	1481161943.717037	1481161943.717057	1481161943.717067

1481161943.734251	1481161943.737141	1481161943.737165	1481161943.737174

1481161943.754206	1481161943.757034	1481161943.757056	1481161943.757065

1481161943.774203	1481161943.777015	1481161943.777035	1481161943.777043

1481161943.794211	1481161943.800785	1481161943.800811	1481161943.800821

1481161943.814253	1481161943.816982	1481161943.816997	1481161943.817006

1481161943.834213	1481161943.837046	1481161943.837068	1481161943.837076

1481161943.854209	1481161943.857155	1481161943.857180	1481161943.857189

1481161943.874204	1481161943.877016	1481161943.877038	1481161943.877046

1481161943.894201	1481161943.897046	1481161943.897070	1481161943.897080

1481161943.914215	1481161943.917147	1481161943.917177	1481161943.917187

1481161943.934209	1481161943.937020	1481161943.937038	1481161943.937046

1481161943.954200	1481161943.957026	1481161943.957044	1481161943.957053

1481161943.974186	1481161943.977215	1481161943.977245	1481161943.977257

1481161943.994207	1481161943.997037	1481161943.997060	1481161943.997069

1481161944.014208	1481161944.017043	1481161944.017067	1481161944.017075

1481161944.034201	1481161944.037160	1481161944.037200	1481161944.037209

1481161944.054221	1481161944.057040	1481161944.057058	1481161944.057066

1481161944.074204	1481161944.077167	1481161944.077190	1481161944.077199

1481161944.094208	1481161944.098747	1481161944.098790	1481161944.098807

