Component,Price ($),Quantity,Sub-total ($),Store Link
Dromida 1/18 Buggy 4WD RTR,99.99,1,99.99,https://www.dromida.com/surface/didc0049-bx4wd/index.php
ISC25 Rotary Encoder,39.95,1,39.95,http://www.rotaryencoder-yumo.com/products/isc25-series-solid-shaft-incremental-rotary-encoder-ID84.html
Arduino UNO Rev 3,24.95,1,24.95,https://www.sparkfun.com/products/11021
Raspberry Pi 3 B+,39.95,1,39.95,https://www.sparkfun.com/products/14643
32GB MicroSD Card,12.99,1,12.99,https://www.amazon.com/dp/B06XWN9Q99
IMU 9DoF Sensor Stick,14.95,1,14.95,https://www.sparkfun.com/products/13944
Raspberry Pi Camera Module V2,29.95,1,29.95,https://www.sparkfun.com/products/14028
Brushed ESC Motor Speed Controller,5.76,1,5.76,https://www.amazon.com/gp/product/B00JXI3H6Y
TowerPro SG90 Micro Servo,3.72,1,3.72,https://www.amazon.com/dp/B01608II3Q
TFMini - Micro LiDAR Module,39.95,1,39.95,https://www.sparkfun.com/products/14588
Current Sensors,9.95,6,59.7,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1164/1528-1807-ND/6565386
,,**Total**,371.86,
