240, 87
240, 91
239, 88
240, 93
240, 95
240, 99
240, 104
240, 108
240, 119
240, 129
240, 139
240, 150
240, 162
240, 174
239, 187
239, 203
239, 220
239, 235
240, 256
240, 277
240, 286
240, 275
241, 263
241, 252
239, 237
240, 218
240, 201
241, 182
239, 168
239, 154
240, 142
240, 132
240, 120
240, 122
240, 112
240, 105
240, 97
240, 94
240, 94
240, 91
240, 88
240, 88
240, 88
240, 88
240, 89
240, 99
240, 100
240, 106
240, 111
240, 120
240, 130
240, 139
240, 154
240, 163
240, 173
240, 187
240, 205
240, 222
240, 236
241, 258
240, 277
240, 286
239, 273
240, 261
240, 249
240, 237
240, 218
239, 200
240, 183
239, 168
239, 153
238, 141
239, 131
238, 118
239, 109
239, 104
239, 99
239, 93
239, 90
240, 88
240, 88
240, 84
240, 87
240, 87
240, 89
240, 95
240, 99
239, 105
239, 111
240, 120
240, 130
239, 139
239, 151
240, 162
239, 175
239, 189
239, 190
238, 221
240, 239
240, 257
239, 275
239, 285
239, 273
240, 263
239, 250
239, 237
239, 218
239, 200
240, 184
239, 169
239, 153
239, 129
239, 130
239, 120
239, 112
239, 105
239, 99
240, 92
239, 90
239, 86
239, 89
239, 89
240, 84
